title,location,area,size,rooms,sqm_m2,price_VND,price_num,len(price),price_normalized,price_usd,trieu_met_vuong,usd_per_sqm,province,country
"Ưu đãi từ CĐT duy nhất 10 suất, chiếc khấu 3.5%",District 12,78 m² - 2 PN,78 m²,2 PN,78,"1,78 tỷ",1.78,4,1780,"$78,070",22.82,$1.00,thanh pho ho chi minh,vietnam
I - Park An Sương 900 Triệu Sở Hữu Ngay Hôm Nay.,District 12,78 m² - 2 PN,78 m²,2 PN,78,"2,6 tỷ",2.6,3,2600,"$114,035",33.33,$1.46,thanh pho ho chi minh,vietnam
Căn Hộ 78m2 2 Phòng Ngủ Giá 900 Triệu.,District 12,78 m² - 2 PN,78 m²,2 PN,78,"2,6 tỷ",2.6,3,2600,"$114,035",33.33,$1.46,thanh pho ho chi minh,vietnam
Ipark An Sương - Căn hộ biệt thự liền kề Sân Bay,District 12,78 m² - 2 PN,78 m²,2 PN,78,"2,6 tỷ",2.6,3,2600,"$114,035",33.33,$1.46,thanh pho ho chi minh,vietnam
Căn Hộ Giá Rẻ District 12 Chỉ Từ 899 Triệu Nhận Nhà,District 12,78 m² - 2 PN,78 m²,2 PN,78,"2,6 tỷ",2.6,3,2600,"$114,035",33.33,$1.46,thanh pho ho chi minh,vietnam
"Căn hộ District 12 ""Tầm nhìn triệu đô"". Duy nhất 5 căn",District 12,78 m² - 2 PN,78 m²,2 PN,78,"2,602 tỷ",2.602,5,2602,"$114,123",33.36,$1.46,thanh pho ho chi minh,vietnam
"CĂN HỘ ""ĐẸP NHƯ VINHOME"" - CHỈ 9 CĂN ĐẸP (GIÁ MỀM)",District 12,78 m² - 2 PN,78 m²,2 PN,78,"2,611 tỷ",2.611,5,2611,"$114,518",33.47,$1.47,thanh pho ho chi minh,vietnam
Bán chung cư District 12. An sương i park. 2PN,District 12,78 m² - 2 PN,78 m²,2 PN,78,"2,689 tỷ",2.689,5,2689,"$117,939",34.47,$1.51,thanh pho ho chi minh,vietnam
Căn hộ thông minh 2PN giá mềm ngay TTHC District 12,District 12,79 m² - 2 PN,79 m²,2 PN,79,"1,8 tỷ",1.8,3,1800,"$78,947",22.78,$1.00,thanh pho ho chi minh,vietnam
"Căn hộ thông minh 2PN,hơn 28 tiện ích tại TTHC Q12",District 12,79 m² - 2 PN,79 m²,2 PN,79,2 tỷ,2,2,2000,"$87,719",25.32,$1.11,thanh pho ho chi minh,vietnam
"""CHÍNH CHỦ"" CĂN HỘ 78M2 - GIÁ RẺ HƠN CĐT 170 TRIỆU",District 12,79 m² - 2 PN,79 m²,2 PN,79,"2,7 tỷ",2.7,3,2700,"$118,421",34.18,$1.50,thanh pho ho chi minh,vietnam
"Căn hộ 2PN tại TTHC Q12, Dân đông Hơn 28 tiện ich",District 12,80 m² - 2 PN,80 m²,2 PN,80,950 triệu,950,4,950,"$41,667",11.88,$0.52,thanh pho ho chi minh,vietnam
"Căn hộ Cao cấp 2PN đủ tiện ích TTHC Q12, giá tốt",District 12,80 m² - 2 PN,80 m²,2 PN,80,"1,7 tỷ",1.7,3,1700,"$74,561",21.25,$0.93,thanh pho ho chi minh,vietnam
ƯU ĐÃI  KHỦNG TRONG MÙA DỊCH COVID 19 - District 12,District 12,80 m² - 2 PN,80 m²,2 PN,80,"2,2 tỷ",2.2,3,2200,"$96,491",27.5,$1.21,thanh pho ho chi minh,vietnam
Căn Shop-House Mặt tiền nhựa 12m Kinh Doanh SHR,District 12,87 m² - 2 PN,87 m²,2 PN,87,"2,9 tỷ",2.9,3,2900,"$127,193",33.33,$1.46,thanh pho ho chi minh,vietnam
Chung cư Võ Đình 90m2- thiết kế sang trọng,District 12,90 m² - 2 PN,90 m²,2 PN,90,"2,2 tỷ",2.2,3,2200,"$96,491",24.44,$1.07,thanh pho ho chi minh,vietnam
Shophouse sở hữu vĩnh viễn 1 trệt 1 lầu,District 12,110 m² - 2 PN,110 m²,2 PN,110,"4,9 tỷ",4.9,3,4900,"$214,912",44.55,$1.95,thanh pho ho chi minh,vietnam
Shophouse 2 tầng Picity High Park Q12,District 12,115 m² - 2 PN,115 m²,2 PN,115,6 tỷ,6,2,6000,"$263,158",52.17,$2.29,thanh pho ho chi minh,vietnam
"Shophouse 3tầng vừa ở+KD,SH lâu dài, lợi nhuận cao",District 12,150 m² - 2 PN,150 m²,2 PN,150,7 tỷ,7,2,7000,"$307,018",46.67,$2.05,thanh pho ho chi minh,vietnam
Bán noxh topaz home công chứng vi bằng 3pn 69m,District 12,69 m² - 3 PN,69 m²,3 PN,69,"1,65 tỷ",1.65,4,1650,"$72,368",23.91,$1.05,thanh pho ho chi minh,vietnam
"Căn mới 60m2 2PN 1,85 tỷ, 70m2 3PN Full NT 2,08 tỷ",District 12,70 m² - 3 PN,70 m²,3 PN,70,"1,85 tỷ",1.85,4,1850,"$81,140",26.43,$1.16,thanh pho ho chi minh,vietnam
Bán Căn Topaz Home 3 Phòng Ngủ Gia 2ty cho vay,District 12,70 m² - 3 PN,70 m²,3 PN,70,2 tỷ,2,2,2000,"$87,719",28.57,$1.25,thanh pho ho chi minh,vietnam
Chung cư Topaz Home 70m² 3PN,District 12,70 m² - 3 PN,70 m²,3 PN,70,"2,1 tỷ",2.1,3,2100,"$92,105",30,$1.32,thanh pho ho chi minh,vietnam
Chung cư Topaz Home 70m² 3PN-2wc nhà mới,District 12,70 m² - 3 PN,70 m²,3 PN,70,"2,1 tỷ",2.1,3,2100,"$92,105",30,$1.32,thanh pho ho chi minh,vietnam
"NHÀ ĐẸP, GIÁ TỐT CHỈ CÓ TẠI ĐÂY.",District 12,79 m² - 3 PN,79 m²,3 PN,79,"2,5 tỷ",2.5,3,2500,"$109,649",31.65,$1.39,thanh pho ho chi minh,vietnam
"Chính Chủ Bán Căn Hộ 3PN, 2WC, MT Nguyễn Văn Quá",District 12,80 m² - 3 PN,80 m²,3 PN,80,"1,78 tỷ",1.78,4,1780,"$78,070",22.25,$0.98,thanh pho ho chi minh,vietnam
I Park An Sương District 12 80m2 3 Phòng Ngủ 900 Triệu,District 12,80 m² - 3 PN,80 m²,3 PN,80,"2,6 tỷ",2.6,3,2600,"$114,035",32.5,$1.43,thanh pho ho chi minh,vietnam
An Sương I-Park District 12 Chuẩn căn hộ xanh,District 12,80 m² - 3 PN,80 m²,3 PN,80,"2,635 tỷ",2.635,5,2635,"$115,570",32.94,$1.44,thanh pho ho chi minh,vietnam
"Căn hộ An Sương I-Park ""Phiên bản giới hạn""",District 12,80 m² - 3 PN,80 m²,3 PN,80,"2,7 tỷ",2.7,3,2700,"$118,421",33.75,$1.48,thanh pho ho chi minh,vietnam
Chung cư District 12 81m² 3PN cao cấp 5*,District 12,81 m² - 3 PN,81 m²,3 PN,81,"2,439 tỷ",2.439,5,2439,"$106,974",30.11,$1.32,thanh pho ho chi minh,vietnam
"CĂN HỘ 2+1 ""GIA ĐÌNH ƯU TÚ""  - 90% CĂN GÓC (MỚI)",District 12,82 m² - 3 PN,82 m²,3 PN,82,"2,728 tỷ",2.728,5,2728,"$119,649",33.27,$1.46,thanh pho ho chi minh,vietnam
Chung cư cao cấp District 12 85m² 3PN chuẩn resort 5*,District 12,85 m² - 3 PN,85 m²,3 PN,85,"2,699 tỷ",2.699,5,2699,"$118,377",31.75,$1.39,thanh pho ho chi minh,vietnam
"Bán căn hộ 3PN trả góp 0 LS, CHỈ 30% = 960 triệu",District 12,87 m² - 3 PN,87 m²,3 PN,87,890 triệu,890,4,890,"$39,035",10.23,$0.45,thanh pho ho chi minh,vietnam
Chính chủ bán shophouse chung cư Hưng Ngân - q12,District 12,130 m² - 4 PN,130 m²,4 PN,130,"3,6 tỷ",3.6,3,3600,"$157,895",27.69,$1.21,thanh pho ho chi minh,vietnam
15 phòng trọ gần Chợ hiệp thành giá 750tr,District 12,225 m² - 7 PN,225 m²,7 PN,225,750 triệu,750,4,750,"$32,895",3.33,$0.15,thanh pho ho chi minh,vietnam
CẦN BÁN CĂN HỘ THE SUN AVENUE Q2 1.750 TỶ 32M2,District 2,32 m² - 1 PN,32 m²,1 PN,32,"1,75 tỷ",1.75,4,1750,"$76,754",54.69,$2.40,thanh pho ho chi minh,vietnam
DANH SÁCH CĂN HỘ CHUYỂN NHƯỢNG THE SUN AVENNUE Q2,District 2,32 m² - 1 PN,32 m²,1 PN,32,"1,75 tỷ",1.75,4,1750,"$76,754",54.69,$2.40,thanh pho ho chi minh,vietnam
Căn 35m2 District 2 giá rẻ bán nhanh mùa dịch,District 2,35 m² - 1 PN,35 m²,1 PN,35,"1,54 tỷ",1.54,4,1540,"$67,544",44,$1.93,thanh pho ho chi minh,vietnam
"Bán Officetel 35m2 The Sun Avenue, District 2.",District 2,35 m² - 1 PN,35 m²,1 PN,35,"1,8 tỷ",1.8,3,1800,"$78,947",51.43,$2.26,thanh pho ho chi minh,vietnam
"CĂN HỘ CENTANA 1PN, 45m2, LỰA CHỌN SỐNG HOÀN HẢO",District 2,45 m² - 1 PN,45 m²,1 PN,45,"1,95 tỷ",1.95,4,1950,"$85,526",43.33,$1.90,thanh pho ho chi minh,vietnam
Sở Hữu Căn Hộ Masteri Thảo Điền 45m² Siêu Xịn,District 2,45 m² - 1 PN,45 m²,1 PN,45,"3,5 tỷ",3.5,3,3500,"$153,509",77.78,$3.41,thanh pho ho chi minh,vietnam
"Căn hộ New City 1PN - 1WC, DT 46.72m2, giá 3.3 tỉ.",District 2,46.72 m² - 1 PN,46.72 m²,1 PN,47,"3,3 tỷ",3.3,3,3300,"$144,737",70.63,$3.10,thanh pho ho chi minh,vietnam
TRẢI NGHIỆM THƯỢNG LƯU TẠI DIAMOND ISLAND CHỈ 3 tỷ,District 2,47 m² - 1 PN,47 m²,1 PN,47,3 tỷ,3,2,3000,"$131,579",63.83,$2.80,thanh pho ho chi minh,vietnam
"CĂN HỘ LEXINGTON 1PN, NỘI THẤT SANG TRỌNG, 48m2",District 2,48 m² - 1 PN,48 m²,1 PN,48,"2,4 tỷ",2.4,3,2400,"$105,263",50,$2.19,thanh pho ho chi minh,vietnam
"D'Lusso Mua căn hộ TT Q2.Giá tốt, chỉ từ 2.7 tỷ",District 2,48.7 m² - 1 PN,48.7 m²,1 PN,49,"2,7 tỷ",2.7,3,2700,"$118,421",55.44,$2.43,thanh pho ho chi minh,vietnam
"SANG NHƯỢNG T7/2021 PRECIA Q2. CĂN ĐẸP, GIA TỐT",District 2,49 m² - 1 PN,49 m²,1 PN,49,"2,607 tỷ",2.607,5,2607,"$114,342",53.2,$2.33,thanh pho ho chi minh,vietnam
"✅ Giỏ Hàng Masteri Thảo Điền Q.2 Giá TỪ 3,1 Tỷ BP",District 2,50 m² - 1 PN,50 m²,1 PN,50,"3,1 tỷ",3.1,3,3100,"$135,965",62,$2.72,thanh pho ho chi minh,vietnam
MUA ĐẦU TƯ HAY Ở ĐỀU THÍCH HỢP - GIÁ CHẤT NHẤT KV,District 2,50 m² - 1 PN,50 m²,1 PN,50,"3,25 tỷ",3.25,4,3250,"$142,544",65,$2.85,thanh pho ho chi minh,vietnam
"BÁN NHANH CĂN HỘ 1PN 51M2, THE SUN AVENUE, 2,3TỶ",District 2,51 m² - 1 PN,51 m²,1 PN,51,"2,3 tỷ",2.3,3,2300,"$100,877",45.1,$1.98,thanh pho ho chi minh,vietnam
Căn 1pn 51.7m2 Lumiere Đợt 1 Giá COVID Lỗ 100tr,District 2,51.7 m² - 1 PN,51.7 m²,1 PN,52,"4,948 tỷ",4.948,5,4948,"$217,018",95.71,$4.20,thanh pho ho chi minh,vietnam
"KẸT TIỀN BÁN LỖ 100TR  CĂN HỘ LUMIE RIVERS,TẦNG 27",District 2,52 m² - 1 PN,52 m²,1 PN,52,"5,4 tỷ",5.4,3,5400,"$236,842",103.85,$4.55,thanh pho ho chi minh,vietnam
Chung cư Thảo điền green Thành Phố Thủ Đức,District 2,55 m² - 1 PN,55 m²,1 PN,55,"4,5 tỷ",4.5,3,4500,"$197,368",81.82,$3.59,thanh pho ho chi minh,vietnam
Căn hộ cao cấp District 2 Thảo Điền Green,District 2,55 m² - 1 PN,55 m²,1 PN,55,6 tỷ,6,2,6000,"$263,158",109.09,$4.78,thanh pho ho chi minh,vietnam
CĂN 2 PHÒNG TRUNG TÂM THE SUN AVENUE 3.3TR Full nt,District 2,56 m² - 1 PN,56 m²,1 PN,56,"3,3 tỷ",3.3,3,3300,"$144,737",58.93,$2.58,thanh pho ho chi minh,vietnam
CẦN BÁN FULL CĂN HỘ 1PN THE SUN AVENUE 2.9 TỶ Q2,District 2,58 m² - 1 PN,58 m²,1 PN,58,"2,9 tỷ",2.9,3,2900,"$127,193",50,$2.19,thanh pho ho chi minh,vietnam
Căn hộ Feliz en Vista 1 2 3 4PN giá tốt cần bán,District 2,58 m² - 1 PN,58 m²,1 PN,58,"3,6 tỷ",3.6,3,3600,"$157,895",62.07,$2.72,thanh pho ho chi minh,vietnam
Bán căn hộ cao cấp MT Nguyễn Văn Hưởng P.Thảo Điền,District 2,61.36 m² - 1 PN,61.36 m²,1 PN,61,7 tỷ,7,2,7000,"$307,018",114.08,$5.00,thanh pho ho chi minh,vietnam
🌐 ĐẦU TƯ NHÀ TRỌ VỚI VỐN 500TR - THU VỀ 12TR/THAG,District 2,100 m² - 1 PN,100 m²,1 PN,100,250 triệu,250,4,250,"$10,965",2.5,$0.11,thanh pho ho chi minh,vietnam
Duplex District 2 - Thành phố Thủ Đức 54m² 2 PN,District 2,54 m² - 2 PN,54 m²,2 PN,54,3 tỷ,3,2,3000,"$131,579",55.56,$2.44,thanh pho ho chi minh,vietnam
"Chính chủ cần bán căn CitiAto, 2pn 2wc, giá gốc",District 2,55 m² - 2 PN,55 m²,2 PN,55,"1,69 tỷ",1.69,4,1690,"$74,123",30.73,$1.35,thanh pho ho chi minh,vietnam
"bán cc Citisoho 2pn, 1wc, NT cơ bản giá 1,620 tỷ",District 2,56 m² - 2 PN,56 m²,2 PN,56,"1,62 tỷ",1.62,4,1620,"$71,053",28.93,$1.27,thanh pho ho chi minh,vietnam
"Bán gấp Căn Hộ Q2 59m2 tháng 6 bàn giao nhà,1.9 tỷ",District 2,56 m² - 2 PN,56 m²,2 PN,56,"1,8 tỷ",1.8,3,1800,"$78,947",32.14,$1.41,thanh pho ho chi minh,vietnam
Bán căn hộ Precia Nguyễn Thị Định Q2,District 2,56 m² - 2 PN,56 m²,2 PN,56,"3,01 tỷ",3.1,3,3100,"$135,965",55.36,$2.43,thanh pho ho chi minh,vietnam
BÁN CĂN HỘ 2 PHÒNG NGỦ - 56M2 VIEW ĐÔNG NAM ĐẸP,District 2,56 m² - 2 PN,56 m²,2 PN,56,"3,3 tỷ",3.3,3,3300,"$144,737",58.93,$2.58,thanh pho ho chi minh,vietnam
"Bán gấp CH 2PN giá 3.8 tỉ bao phí, full nội thất",District 2,56.6 m² - 2 PN,56.6 m²,2 PN,57,"3,8 tỷ",3.8,3,3800,"$166,667",67.14,$2.94,thanh pho ho chi minh,vietnam
CẦN BÁN 2 PN THE SUN AVENUE Q2 FULL NT TP THỦ ĐỨC,District 2,57 m² - 2 PN,57 m²,2 PN,57,"3,3 tỷ",3.3,3,3300,"$144,737",57.89,$2.54,thanh pho ho chi minh,vietnam
Chỉ cần 800tr sở hữu ngay căn hộ cao cấp District 2,District 2,58.3 m² - 2 PN,58.3 m²,2 PN,58,800 triệu,800,4,800,"$35,088",13.72,$0.60,thanh pho ho chi minh,vietnam
"Căn hộ CitiSoho Q2, Dịch bệnh nên bán giá rẻ",District 2,59 m² - 2 PN,59 m²,2 PN,59,"1,61 tỷ",1.61,4,1610,"$70,614",27.29,$1.20,thanh pho ho chi minh,vietnam
Giỏ hàng 50 căn CitiEsto -Q2 đang giao nhà giá tốt,District 2,59 m² - 2 PN,59 m²,2 PN,59,"1,655 tỷ",1.655,5,1655,"$72,588",28.05,$1.23,thanh pho ho chi minh,vietnam
GIÁ CỰC NÓNG MÙA DỊCH,District 2,59 m² - 2 PN,59 m²,2 PN,59,"1,69 tỷ",1.69,4,1690,"$74,123",28.64,$1.26,thanh pho ho chi minh,vietnam
"CitiHome 2pn, 1wc cần bán nhanh giá 1,650 tỷ",District 2,60 m² - 2 PN,60 m²,2 PN,60,"1,65 tỷ",1.65,4,1650,"$72,368",27.5,$1.21,thanh pho ho chi minh,vietnam
Chung cư La Astoria 60m² 2 PN,District 2,60 m² - 2 PN,60 m²,2 PN,60,"2,18 tỷ",2.18,4,2180,"$95,614",36.33,$1.59,thanh pho ho chi minh,vietnam
Chính chủ bán lỗ căn Citi Grand Q2,District 2,60 m² - 2 PN,60 m²,2 PN,60,"2,295 tỷ",2.295,5,2295,"$100,658",38.25,$1.68,thanh pho ho chi minh,vietnam
Căn hộ vào ở ngay giữa Thủ Thiêm tặng nội thất,District 2,60 m² - 2 PN,60 m²,2 PN,60,"3,3 tỷ",3.3,3,3300,"$144,737",55,$2.41,thanh pho ho chi minh,vietnam
CH Newcity Thủ Thiêm Block Hawaii 2PN 2NVS,District 2,60 m² - 2 PN,60 m²,2 PN,60,"3,95 tỷ",3.95,4,3950,"$173,246",65.83,$2.89,thanh pho ho chi minh,vietnam
Sở Hữu Ngay Căn Hộ Masteri Thảo Điền 60m² 2PN,District 2,60 m² - 2 PN,60 m²,2 PN,60,"4,12 tỷ",4.12,4,4120,"$180,702",68.67,$3.01,thanh pho ho chi minh,vietnam
Bán căn hộ dự án New City Thủ Thiêm Block Hawai2,District 2,60.78 m² - 2 PN,60.78 m²,2 PN,61,"4,9 tỷ",4.9,3,4900,"$214,912",80.62,$3.54,thanh pho ho chi minh,vietnam
Chung cư District 2 61m² 1 tỉ 567,District 2,61 m² - 2 PN,61 m²,2 PN,61,"1,567888 tỷ",1.567,5,1567,"$68,728",25.69,$1.13,thanh pho ho chi minh,vietnam
Chính chủ bán chung cư Q2 - 2pn giá chỉ 1 ti 800,District 2,61 m² - 2 PN,61 m²,2 PN,61,"1,8 tỷ",1.8,3,1800,"$78,947",29.51,$1.29,thanh pho ho chi minh,vietnam
CĂN HỘ CHUNG CƯ citisoho,District 2,61 m² - 2 PN,61 m²,2 PN,61,"2,2 tỷ",2.2,3,2200,"$96,491",36.07,$1.58,thanh pho ho chi minh,vietnam
Bán Chung cư Citihome District 2 Mới Ken...,District 2,62 m² - 2 PN,62 m²,2 PN,62,"1,65 tỷ",1.65,4,1650,"$72,368",26.61,$1.17,thanh pho ho chi minh,vietnam
"bán că hộ Citihome 2pn, 2wc  đã có sổ, giá 1,8 tỷ",District 2,64 m² - 2 PN,64 m²,2 PN,64,"1,8 tỷ",1.8,3,1800,"$78,947",28.13,$1.23,thanh pho ho chi minh,vietnam
"CĂN HỘ CENTANA 2PN, 2WC, NỘI THẤT CƠ BẢN, 64m2",District 2,64 m² - 2 PN,64 m²,2 PN,64,"2,9 tỷ",2.9,3,2900,"$127,193",45.31,$1.99,thanh pho ho chi minh,vietnam
Chung cư Masteri Thảo Điền 65m² 2 PN View Landmark,District 2,65 m² - 2 PN,65 m²,2 PN,65,"4,12 tỷ",4.12,4,4120,"$180,702",63.38,$2.78,thanh pho ho chi minh,vietnam
"Bán Căn hộ D'Lusso Q2 chênh thấp, 3.64 tỷ 2PN 69m2",District 2,68 m² - 2 PN,68 m²,2 PN,68,"3,64 tỷ",3.64,4,3640,"$159,649",53.53,$2.35,thanh pho ho chi minh,vietnam
Chung cư cao cấp 2pn Dlusso Quận2,District 2,68 m² - 2 PN,68 m²,2 PN,68,"3,98 tỷ",3.98,4,3980,"$174,561",58.53,$2.57,thanh pho ho chi minh,vietnam
CẬP NHẬT GIỎ HÀNG BÁN DỰ ÁN MASTERI THẢO ĐIỀN,District 2,68 m² - 2 PN,68 m²,2 PN,68,"4,15 tỷ",4.15,4,4150,"$182,018",61.03,$2.68,thanh pho ho chi minh,vietnam
Kẹt tiền cần bán 2PN view hồ bơi chênh thấp Dlusso,District 2,68 m² - 2 PN,68 m²,2 PN,68,"4,04 tỷ",4.4,3,4400,"$192,982",64.71,$2.84,thanh pho ho chi minh,vietnam
"Chung cư An Hòa 70m²-2PN, view Q1, giá tốt",District 2,70 m² - 2 PN,70 m²,2 PN,70,"2,85 tỷ",2.85,4,2850,"$125,000",40.71,$1.79,thanh pho ho chi minh,vietnam
Chung cư District 2 D'Lusso 70m² 2PN bán giá gốc đợt 1,District 2,70 m² - 2 PN,70 m²,2 PN,70,"3,641 tỷ",3.641,5,3641,"$159,693",52.01,$2.28,thanh pho ho chi minh,vietnam
BÁN GẤP 2PN VIEW SÔNG MASTERI THẢO ĐIỀN 4TY5,District 2,70 m² - 2 PN,70 m²,2 PN,70,"4,5 tỷ",4.5,3,4500,"$197,368",64.29,$2.82,thanh pho ho chi minh,vietnam
GỬI BÁN CĂN HỘ MASTERI TĐ 2PN 70M2 VIEW SÔNG,District 2,70 m² - 2 PN,70 m²,2 PN,70,"4,7 tỷ",4.7,3,4700,"$206,140",67.14,$2.94,thanh pho ho chi minh,vietnam
New City - 2PN - DT 70m2 - giá 4.8 tỉ thương lượng,District 2,70 m² - 2 PN,70 m²,2 PN,70,"4,8 tỷ",4.8,3,4800,"$210,526",68.57,$3.01,thanh pho ho chi minh,vietnam
"CĂN HỘ LEXINGTON 2PN, NỘI THẤT CAO CẤP, 71m2",District 2,71 m² - 2 PN,71 m²,2 PN,71,"3,4 tỷ",3.4,3,3400,"$149,123",47.89,$2.10,thanh pho ho chi minh,vietnam
Chung cư Glenwood Maison (Q2 Thảo điền) 72m² 2 PN,District 2,72 m² - 2 PN,72 m²,2 PN,72,"7,5 tỷ",7.5,3,7500,"$328,947",104.17,$4.57,thanh pho ho chi minh,vietnam
Chính chủ cần bán căn hộ CC Citihome Tầng cao,District 2,72.32 m² - 2 PN,72.32 m²,2 PN,72,"2,1 tỷ",2.1,3,2100,"$92,105",29.04,$1.27,thanh pho ho chi minh,vietnam
BÁN CĂN HỘ VICTORIA VILLAGE 2PN - HƯỚNG ĐÔNG NAM,District 2,73 m² - 2 PN,73 m²,2 PN,73,"3,85 tỷ",3.85,4,3850,"$168,860",52.74,$2.31,thanh pho ho chi minh,vietnam
"BÁN CĂN HỘ 2 PHÒNG NGỦ - ĐẦY ĐỦ NỘI THẤT 3,9 TỶ",District 2,73 m² - 2 PN,73 m²,2 PN,73,"3,9 tỷ",3.9,3,3900,"$171,053",53.42,$2.34,thanh pho ho chi minh,vietnam
Chung cư The Sun Avenue 73m² 2 PN District 2 - FULL NT,District 2,73 m² - 2 PN,73 m²,2 PN,73,"3,92 tỷ",3.92,4,3920,"$171,930",53.7,$2.36,thanh pho ho chi minh,vietnam
"BÁN NHANH CĂN HỘ 2PN THE SUN AVENUE Q.2 - 3,950Tỷ",District 2,73 m² - 2 PN,73 m²,2 PN,73,"3,95 tỷ",3.95,4,3950,"$173,246",54.11,$2.37,thanh pho ho chi minh,vietnam
Chung cư masteri lumière riverside 73m² 2 PN,District 2,73.2 m² - 2 PN,73.2 m²,2 PN,73,"1,74 tỷ",1.74,4,1740,"$76,316",23.77,$1.04,thanh pho ho chi minh,vietnam
Căn hộ xanh 2PN Lumiere gần trạm metro An Phú Q2.,District 2,74 m² - 2 PN,74 m²,2 PN,74,"1,992 tỷ",1.992,5,1992,"$87,368",26.92,$1.18,thanh pho ho chi minh,vietnam
Chung cư Homyland Riverside 75m2 2PN view sông Q2,District 2,75 m² - 2 PN,75 m²,2 PN,75,"3,35 tỷ",3.35,4,3350,"$146,930",44.67,$1.96,thanh pho ho chi minh,vietnam
Bán Nhanh Căn Hộ 2PN The Sun Avenue,District 2,75 m² - 2 PN,75 m²,2 PN,75,"3,9 tỷ",3.9,3,3900,"$171,053",52,$2.28,thanh pho ho chi minh,vietnam
CẦN BÁN 2PN 3.9 TỶ FULL NT THE SUN AVENUE Q2 HCM,District 2,75 m² - 2 PN,75 m²,2 PN,75,"3,9 tỷ",3.9,3,3900,"$171,053",52,$2.28,thanh pho ho chi minh,vietnam
CHÍNH CHỦ GỬI BÁN CĂN FULL NT CAO CẤP- TUYỆT ĐẸP,District 2,75 m² - 2 PN,75 m²,2 PN,75,"4,3 tỷ",4.3,3,4300,"$188,596",57.33,$2.51,thanh pho ho chi minh,vietnam
Bán GẤP căn hộ New City Q.2 view Q1 + view Vinhome,District 2,75 m² - 2 PN,75 m²,2 PN,75,"4,75 tỷ",4.75,4,4750,"$208,333",63.33,$2.78,thanh pho ho chi minh,vietnam
chỉ 1.2 tỷ/căn 2PN De Capella thủ thiêm District 2,District 2,76 m² - 2 PN,76 m²,2 PN,76,"1,2 tỷ",1.2,3,1200,"$52,632",15.79,$0.69,thanh pho ho chi minh,vietnam
BÁN NHANH 2PN - 76M2 - NỘI THẤT CAO CẤP -VIEW SÔNG,District 2,76 m² - 2 PN,76 m²,2 PN,76,"3,9 tỷ",3.9,3,3900,"$171,053",51.32,$2.25,thanh pho ho chi minh,vietnam
Bán nhanh giá tốt mùa dịch CH  DE CAPELA THỦ THIÊM,District 2,76 m² - 2 PN,76 m²,2 PN,76,"3,95 tỷ",3.95,4,3950,"$173,246",51.97,$2.28,thanh pho ho chi minh,vietnam
BÁN CĂN HỘ 2PN FULL NỘI THẤT THE SUN AVENUE District 2,District 2,76 m² - 2 PN,76 m²,2 PN,76,4 tỷ,4,2,4000,"$175,439",52.63,$2.31,thanh pho ho chi minh,vietnam
Chủ nhà kẹt tiền cần bán căn 2 pn thu hồi vốn 4ty1,District 2,76 m² - 2 PN,76 m²,2 PN,76,"4,1 tỷ",4.1,3,4100,"$179,825",53.95,$2.37,thanh pho ho chi minh,vietnam
BÁN CĂN HỘ 2PN FULL NỘI THẤT THE SUN AVENUE District 2,District 2,76 m² - 2 PN,76 m²,2 PN,76,"4,25 tỷ",4.25,4,4250,"$186,404",55.92,$2.45,thanh pho ho chi minh,vietnam
BÁN 2 PN FULL NT THE SUN AVENUE ĐANG CÓ HD THUÊ,District 2,76 m² - 2 PN,76 m²,2 PN,76,"4,05 tỷ",4.5,3,4500,"$197,368",59.21,$2.60,thanh pho ho chi minh,vietnam
MASTERI LUMIERE SIÊU CAO CẤP GIỎ HÀNG GIÁ GỐC CĐT,District 2,77 m² - 2 PN,77 m²,2 PN,77,"6,9 tỷ",6.9,3,6900,"$302,632",89.61,$3.93,thanh pho ho chi minh,vietnam
THE SUN AVENUE - Bán gấp căn hộ cao cấp 2PN-79m2,District 2,79 m² - 2 PN,79 m²,2 PN,79,"4,3 tỷ",4.3,3,4300,"$188,596",54.43,$2.39,thanh pho ho chi minh,vietnam
Bán gấp căn hộ homyland 3 full nội thất cao cấp,District 2,81 m² - 2 PN,81 m²,2 PN,81,"3,15 tỷ",3.15,4,3150,"$138,158",38.89,$1.71,thanh pho ho chi minh,vietnam
Tôi bán cc Petroland District 2 82m² 2PN Giá 2.25 tỷ,District 2,82 m² - 2 PN,82 m²,2 PN,82,"2,25 tỷ",2.25,4,2250,"$98,684",27.44,$1.20,thanh pho ho chi minh,vietnam
"Bán căn Lexington, dt 82m2 full NT. Giá 3,7 tỷ",District 2,82 m² - 2 PN,82 m²,2 PN,82,"3,7 tỷ",3.7,3,3700,"$162,281",45.12,$1.98,thanh pho ho chi minh,vietnam
MỞ BÁN CĂN HỘ HẠNG SANG CẠNH SÔNG  THẢO ĐIỀN Q2,District 2,83 m² - 2 PN,83 m²,2 PN,83,200 triệu,200,4,200,"$8,772",2.41,$0.11,thanh pho ho chi minh,vietnam
Bán căn gốc Thủ Thiêm Star,District 2,83 m² - 2 PN,83 m²,2 PN,83,"2,6 tỷ",2.6,3,2600,"$114,035",31.33,$1.37,thanh pho ho chi minh,vietnam
